	27.S17	50.S17	5.S17	173.S17	196.S17	88.S17	160.S17	93.S17	210.S17	59.S17	136.S17	163.S17	148.S17	121.S17	146.S17	174.S17	154.S17	147.S17	122.S17	90.S17	171.S17	CON27.S17	209.S17	14.S17	144.S17	186.S17	66.S17	24.S17	150.S17	118.S17	3.S17	53.S17	166.S17	21.S17	116.S17	35.S17	32.S17	112.S17	161.S17	141.S17	180.S17	103.S17	129.S17	169.S17	CON8.S17	86.S17	98.S17	39.S17	CON7.S17	7.S17	137.S17	87.S17	155.S17	94.S17	143.S17	164.S17	51.S17	33.S17	198.S17	191.S17	179.S17	135.S17	74.S17	99.S17	114.S17	216.S17	92.S17	91.S17	127.S17	167.S17	48.S17	138.S17	43.S17	184.S17	134.S17	190.S17	139.S17	26.S17	201.S17	55.S17	140.S17	123.S17	120.S17	193.S17	102.S17	181.S17	199.S17	54.S17	170.S17	183.S17	29.S17	4.S17	64.S17	58.S17	12.S17	189.S17	25.S17	72.S17	152.S17	CON1.S17	165.S17	62.S17	61.S17	68.S17	142.S17	31.S17	128.S17	85.S17	117.S17	95.S17	182.S17	101.S17	124.S17	156.S17	168.S17	194.S17	89.S17	145.S17	CON25.S17	206.S17	1.S17	178.S17	211.S17	110.S17	70.S17	109.S17	203.S17	153.S17	96.S17
27.S17	0.0	0.700757500232	0.757182512063	0.747393279087	0.723433472824	0.771332611784	0.743886506959	0.836377542279	0.69890718595	0.692794689036	0.738167614384	0.754691059847	0.806787536792	0.733532841616	0.785441082491	0.683027107384	0.734733646507	0.801778226335	0.721079775591	0.776856387848	0.69521819552	0.818138814959	0.706005834114	0.757748879758	0.819265143662	0.737812410563	0.702672468023	0.666425920596	0.725933491521	0.723853652821	0.701453251109	0.64778816933	0.704453261628	0.620786743661	0.749726167243	0.695311463409	0.696185003602	0.756054549895	0.77414781777	0.753599076962	0.728893710273	0.714133644738	0.742236632616	0.663679278371	0.719812681778	0.782367249878	0.790906554146	0.665373676549	0.713764412819	0.685643186891	0.685349812499	0.750579790754	0.696702708695	0.831397402713	0.702918448893	0.713388663655	0.675273208917	0.737669697896	0.736955357232	0.706193073963	0.754127517059	0.700196306934	0.714881610913	0.748279387225	0.775702567616	0.81264591311	0.841884181358	0.826339490306	0.798943729103	0.740518722564	0.700360813413	0.731750080567	0.709869261822	0.740620092787	0.766442128315	0.760029774952	0.707962074144	0.684705333996	0.740784008118	0.747422629703	0.700453697122	0.739850256639	0.693896849006	0.719360139269	0.754991865191	0.728748124556	0.699392711607	0.734826539148	0.758830394273	0.738939559646	0.714901939372	0.74283575154	0.703317254005	0.772763630928	0.720655082568	0.756888400198	0.748220981853	0.748761038264	0.794655548048	0.74127492776	0.678557507081	0.750223806618	0.714962842414	0.826765124697	0.738980078137	0.660333504853	0.734800445795	0.804319522805	0.757117542585	0.814351304233	0.753131203485	0.752730887499	0.807116021488	0.708774441679	0.777105005243	0.765325030723	0.826331438611	0.805117083077	0.7144040555	0.750201365033	0.787030629917	0.778839374031	0.811423820544	0.783736831117	0.686518751262	0.698564032909	0.812878755198	0.804401017802	0.853209819123
50.S17	0.700757500232	0.0	0.801798545385	0.721036086442	0.724715684957	0.785661476554	0.720892235474	0.842296991804	0.740150376463	0.660259300558	0.677660426528	0.694907596436	0.75980297163	0.696205108284	0.711741762188	0.679479044346	0.701670424808	0.761296169864	0.66882135392	0.728798219387	0.675524594287	0.857722620625	0.70519909726	0.750199850368	0.763187930891	0.681009071052	0.765951548457	0.679475151521	0.718785876929	0.696811088645	0.725445771651	0.693834694008	0.656230577971	0.682766195437	0.763841100992	0.738603748059	0.714933809662	0.715134302005	0.720855199174	0.727423287956	0.711208227487	0.716360416644	0.747355454171	0.650501723795	0.763016623978	0.759838257909	0.781724147543	0.72686627685	0.761287754419	0.664416671808	0.716412528751	0.732285766425	0.689184007731	0.806414158594	0.715759752442	0.683184784976	0.69120438723	0.774001333855	0.744580847344	0.680987145476	0.730842822436	0.705220207523	0.716367480595	0.743060527906	0.728917122202	0.859605459902	0.8174248714	0.79101439207	0.779794909609	0.667495943727	0.654594532805	0.73393565323	0.759056627501	0.681054579266	0.72557702109	0.741995733805	0.698465696582	0.664578906478	0.69379799585	0.723606137449	0.683229558312	0.693541248845	0.677531163803	0.716832049321	0.746844424943	0.690776651388	0.716493822622	0.718487335472	0.686770465897	0.764398561535	0.743012817352	0.724393126178	0.689176391303	0.82329199545	0.761364889065	0.701622464578	0.795441888119	0.796228637776	0.750470219007	0.77768589362	0.679765596267	0.712540700349	0.726449960528	0.874977281985	0.732421223245	0.724018461747	0.74465162118	0.78150998283	0.761741826146	0.785628252748	0.713714694311	0.768275447292	0.785364673096	0.707139240594	0.758562716002	0.783370132678	0.810648225618	0.797320847879	0.798109663436	0.825277961613	0.78739693051	0.735151121453	0.857301135502	0.769614697161	0.706812283275	0.700419704684	0.846303307032	0.813717390151	0.839784429792
5.S17	0.757182512063	0.801798545385	0.0	0.83805609293	0.801527428556	0.839796099944	0.844385550421	0.904256610535	0.81889710212	0.829280155642	0.811163380849	0.864791492594	0.887328339325	0.804658344019	0.850904520265	0.808421989905	0.852418365748	0.882626768817	0.816335226659	0.858663444297	0.805052134654	0.851355686553	0.824808993572	0.805192798733	0.889128892509	0.843452957833	0.788172398368	0.841397317061	0.818945890308	0.818782500822	0.810069893324	0.725589968961	0.849217151445	0.785117314662	0.821236931857	0.742321365923	0.819590592622	0.830533062004	0.883932607365	0.774780203702	0.815572984404	0.800935784949	0.85528429736	0.811355320913	0.717779754394	0.843103472651	0.820345306705	0.742262401067	0.735223440751	0.796441391994	0.722197206047	0.853525558956	0.821301246897	0.905722328165	0.807190922803	0.835134678813	0.807455118858	0.708903394454	0.826182220835	0.828062288712	0.832868316897	0.797389754846	0.827880965937	0.805361685978	0.827916334946	0.869721932701	0.856557493612	0.884708799959	0.85046155979	0.852227228503	0.817668001262	0.818463338545	0.761984914194	0.850987496279	0.838644708002	0.838751400115	0.811324846928	0.819983180414	0.821300641118	0.842675704338	0.818444591457	0.820800208058	0.825906075726	0.832467359446	0.80181493842	0.823112742236	0.839643498551	0.788328809737	0.855436940005	0.819422390157	0.803588868845	0.853474527593	0.83457473291	0.727152874468	0.802950557516	0.856811886825	0.765759771346	0.820912628034	0.853251726874	0.749291736843	0.800495214226	0.844632710719	0.810391163686	0.807521395124	0.807193813984	0.765570404497	0.81360328829	0.871791944598	0.823997335177	0.874475385409	0.818958655682	0.833809351949	0.835800991631	0.800388855335	0.836836036738	0.805920012918	0.876389530877	0.814010207153	0.805189641266	0.700103423468	0.841447163899	0.86298636073	0.810034332474	0.849885817559	0.780427011027	0.799281848272	0.831668258176	0.79095644859	0.915068216697
173.S17	0.747393279087	0.721036086442	0.83805609293	0.0	0.653046409878	0.731797694512	0.644312214676	0.786277605339	0.707214313724	0.72851648402	0.650497211167	0.628363059629	0.685519091536	0.680844605888	0.691540961996	0.669220736137	0.662297358695	0.695378285028	0.660854024007	0.68647387839	0.67266555964	0.740262384446	0.627975596812	0.7311797136	0.706908790973	0.63428940824	0.783438900141	0.683626259979	0.663032194868	0.676340676107	0.672829983977	0.766203843563	0.659396535192	0.701926438506	0.738855245258	0.796255700317	0.725689561597	0.70598668852	0.691143893238	0.744793913739	0.675690964145	0.757933185709	0.79163795145	0.706488884142	0.82106782427	0.743060988873	0.788465470746	0.753650589036	0.821295266233	0.706162659542	0.773472345553	0.715683137814	0.678147835677	0.77538423552	0.725715959817	0.673066582823	0.696614589907	0.814446886963	0.627465253591	0.655202277327	0.650706306459	0.72984014738	0.719525081165	0.740513675358	0.683354935446	0.75695013455	0.787732473436	0.752844560851	0.711068861453	0.616876804458	0.683746971175	0.723468219522	0.792629690276	0.668282073911	0.720448286162	0.650261579864	0.692267445378	0.652687069746	0.639333251951	0.687980016257	0.691371656224	0.676085063187	0.686618456407	0.614977427785	0.708676166069	0.675425527101	0.678941118338	0.713679765955	0.645331788169	0.708299555971	0.721031886275	0.662978249081	0.683209421166	0.81231480362	0.732744423214	0.64286918952	0.784063143067	0.751500918301	0.668224342866	0.813949187624	0.734857696159	0.687542827761	0.70675614559	0.862755724129	0.709646265994	0.703960570173	0.704594625107	0.734173926059	0.732843088498	0.758749240306	0.648673539521	0.8069828722	0.719071775002	0.650060872551	0.64858630723	0.725524679212	0.743614275942	0.725781011576	0.77093939372	0.838273420978	0.75399768859	0.632239749422	0.767009909093	0.735096103798	0.688336130673	0.706611969783	0.75401432704	0.749097981869	0.7874732892
196.S17	0.723433472824	0.724715684957	0.801527428556	0.653046409878	0.0	0.699019617925	0.666766449966	0.733773326848	0.675907676548	0.733604030149	0.632483664411	0.706454905493	0.738720669893	0.679277297674	0.708079085691	0.709056558758	0.724202068835	0.722858134213	0.654388493792	0.677039001556	0.681393199258	0.744439051986	0.655725299699	0.700953766909	0.770464683381	0.649008317136	0.751655919427	0.656485326245	0.672579277874	0.679059696456	0.689021908445	0.740513709999	0.701928994271	0.697036982158	0.730208191105	0.785966150486	0.690487610709	0.713764984638	0.717565352457	0.725595348941	0.685511920434	0.702571783593	0.735580447303	0.727930921346	0.814731527544	0.713395448441	0.758677246539	0.735825891161	0.800632339417	0.704465840117	0.747580015789	0.694401274907	0.727192576516	0.745617343009	0.680397921139	0.725019509681	0.695370518193	0.806726197283	0.659665009261	0.662695999543	0.655924187537	0.697679800553	0.692706702177	0.708978024668	0.648808154166	0.734114063629	0.75589310211	0.735329349942	0.661514059886	0.668877675955	0.730985104709	0.710168848009	0.769534351212	0.67985087737	0.742451630394	0.680371325386	0.708362159517	0.676064026755	0.628824155668	0.675310200504	0.676908621116	0.652175277132	0.668844892441	0.636366156283	0.696327744654	0.697079339018	0.631222337602	0.737167169729	0.670110675268	0.673026034852	0.691849841829	0.687342450717	0.665606845225	0.781483815857	0.699428809573	0.692681739629	0.740691984182	0.709811669981	0.690650663194	0.813343202775	0.759395162886	0.674126406775	0.689529988901	0.819304606703	0.658712987446	0.704165321325	0.632933442963	0.697360409636	0.680674652019	0.713152906251	0.691943247349	0.774581680026	0.661099267047	0.670551143801	0.683393544963	0.699251500293	0.693641195487	0.747383548682	0.713818361771	0.822111060393	0.701480354841	0.692144466395	0.736299085007	0.691293999056	0.701038089547	0.688715071115	0.704182556708	0.734046544469	0.755215061228
88.S17	0.771332611784	0.785661476554	0.839796099944	0.731797694512	0.699019617925	0.0	0.744844920953	0.744228206689	0.736980699914	0.790065283439	0.692685399257	0.792928384948	0.794360958787	0.720876578689	0.783446057292	0.794839153078	0.780313873071	0.768713972925	0.665226347674	0.715629551412	0.743531395867	0.794850611607	0.769351716366	0.724839229848	0.824497085046	0.751806489802	0.777346507707	0.70791681418	0.740575215457	0.754415570979	0.731448539753	0.804674746423	0.786923400429	0.773189153001	0.767938494008	0.848770251196	0.759811801394	0.746580359588	0.799154398389	0.763452620129	0.728669147959	0.740864113931	0.75263523983	0.81045445961	0.864498519764	0.698052199791	0.738960533202	0.786115501568	0.857284664133	0.751257516723	0.813993439753	0.738929342355	0.803760738239	0.775628332085	0.702112108985	0.789931144797	0.761177176535	0.865904752371	0.721979935587	0.747784691472	0.73708412039	0.726967634632	0.7239926458	0.730352921279	0.745101454582	0.735134289533	0.719310806295	0.743571419574	0.666311963815	0.777927748732	0.76931597448	0.688902410986	0.833271937028	0.76843937886	0.791614031182	0.737526622923	0.703896655252	0.739437065533	0.703756215569	0.7101155138	0.740071390164	0.675961675427	0.703912780748	0.711928362785	0.692647384995	0.778905150722	0.726173213859	0.737368493909	0.76070717306	0.766531627246	0.7300168277	0.712074134117	0.755371506674	0.793380386674	0.669754047838	0.771969089864	0.740022868944	0.725040288095	0.744094593721	0.863098877878	0.822072190298	0.759323949146	0.732666102448	0.827310347799	0.686406481772	0.755408329389	0.660560843106	0.717475811309	0.673867565454	0.719994895444	0.773935584676	0.800018482356	0.655988787099	0.734190665698	0.78922621457	0.733578330102	0.704902350468	0.767059657665	0.700075902162	0.873016394321	0.708444050449	0.758483070111	0.778430968461	0.686315005732	0.766326684297	0.718308453687	0.763292170309	0.792759325699	0.75429924236
160.S17	0.743886506959	0.720892235474	0.844385550421	0.644312214676	0.666766449966	0.744844920953	0.0	0.802420584454	0.72947051877	0.749512740633	0.680047855172	0.658301889259	0.688531844826	0.71316485612	0.688309255423	0.676677058602	0.669927988851	0.672190272238	0.667818714055	0.706797003394	0.679902485622	0.786835435953	0.686479567724	0.738101731939	0.712711478288	0.65833166426	0.787837032726	0.692963907678	0.644681602473	0.702887298124	0.706041127829	0.767077594502	0.665124294543	0.728387792697	0.756017956114	0.794884300535	0.729201657591	0.706633382319	0.672948117641	0.769949931941	0.705171811798	0.765561034961	0.780561185297	0.701203550235	0.818795564622	0.755025258541	0.801509897186	0.762021163285	0.824475639629	0.68744343584	0.781696824271	0.738573775584	0.673766581355	0.76441388002	0.742822524973	0.709293658559	0.729897475755	0.814406202134	0.68055937504	0.689390369046	0.685966177848	0.730343392716	0.708161681784	0.745796972335	0.714359336662	0.774930362291	0.780471695115	0.764334575166	0.740594482452	0.658475912811	0.682111726269	0.73270742418	0.795296680361	0.692588087847	0.74994177302	0.668891541466	0.714615758627	0.697210906353	0.641767497374	0.709502036174	0.713218384346	0.713559855945	0.703136114342	0.66600099289	0.743774012085	0.660113919971	0.677885801359	0.714913176726	0.666567037032	0.726125298718	0.757691559172	0.70977278366	0.694117068432	0.825879593004	0.758387052377	0.693805790326	0.792294605759	0.754281352279	0.676607762151	0.827494834634	0.742077672003	0.703786053042	0.716951708705	0.870166976486	0.725149649844	0.732204066762	0.706573351646	0.766923219915	0.764187574494	0.766915477057	0.680410643022	0.820922905157	0.728364699224	0.665012075736	0.688604900602	0.749203264222	0.765420534899	0.748891103336	0.778753708442	0.835636327612	0.773500959571	0.640057646805	0.797823399238	0.741533942085	0.722239480397	0.714614281951	0.780119890854	0.771780536027	0.783584141957
93.S17	0.836377542279	0.842296991804	0.904256610535	0.786277605339	0.733773326848	0.744228206689	0.802420584454	0.0	0.794179382977	0.839573811239	0.788022935345	0.823464856928	0.817595006684	0.78744897289	0.8222957941	0.844991717682	0.837532404551	0.799313482763	0.778859851869	0.707113226572	0.830905564034	0.853595055824	0.821751250528	0.817337023367	0.844046654094	0.782041438162	0.877292687543	0.77892708749	0.786198926281	0.763906753849	0.784251163729	0.857722337702	0.834884057309	0.808469531073	0.764398294656	0.891399283471	0.810189638798	0.793002700865	0.807910288733	0.848235208223	0.811332776213	0.800800860662	0.772223463212	0.858761094911	0.912136241155	0.730644981786	0.837810093443	0.861938389064	0.910811219274	0.812767600042	0.860786581577	0.726065491323	0.854953987594	0.673421500241	0.789292764374	0.842200054309	0.827598935576	0.904943031286	0.808745691777	0.786854175068	0.757037641733	0.824840014878	0.816167020547	0.778831931352	0.75348518103	0.824454924415	0.699993898659	0.70972451028	0.726504896995	0.809254084059	0.836421919099	0.772713689383	0.88701987709	0.785626880136	0.821096307305	0.791606415305	0.794941238772	0.768131797453	0.796359831154	0.742835762363	0.749981446745	0.752991984806	0.773899867121	0.770279111793	0.763868720198	0.831883994987	0.752180223386	0.833646954481	0.770416419453	0.831938466671	0.803224955156	0.767458304685	0.755071863457	0.888932216844	0.786046664755	0.80170066889	0.84615058859	0.792214597102	0.797128293918	0.914946027864	0.867054356614	0.748307059029	0.775977958671	0.906569817159	0.769772032923	0.828394293965	0.740122404389	0.706213349904	0.755173125626	0.662089763839	0.839917857974	0.83859635098	0.761893654253	0.836918166688	0.815923080734	0.805728941908	0.644390971001	0.851589184006	0.756961753501	0.912577347795	0.776223608633	0.795023450582	0.867267627484	0.714600446681	0.822693355151	0.798584362181	0.852855792764	0.865544285564	0.645872203089
210.S17	0.69890718595	0.740150376463	0.81889710212	0.707214313724	0.675907676548	0.736980699914	0.72947051877	0.794179382977	0.0	0.742260427711	0.710507979387	0.757450669109	0.796838938597	0.727317059485	0.784240892433	0.707802118435	0.749134905056	0.757309125402	0.728020929969	0.723939056124	0.724731543052	0.724273988721	0.69294155988	0.737236238306	0.813896877486	0.729181956017	0.707840820382	0.724411289678	0.707440800001	0.703972054831	0.705391055917	0.690022672612	0.729781340202	0.705835002196	0.739531858428	0.756887133358	0.727010176794	0.757426778877	0.77958363679	0.760805361957	0.706200993329	0.692238963823	0.742302971192	0.730016631826	0.760556338165	0.733015466113	0.751775656446	0.708140340771	0.770605223668	0.718930992048	0.749536183686	0.686916565275	0.738799472933	0.798235528426	0.70103789647	0.741829554509	0.713344957207	0.820043559107	0.707940969624	0.735803825643	0.731757463562	0.727144357056	0.739495088986	0.731707221779	0.7195796283	0.738887264461	0.778726439787	0.774614691823	0.731300151031	0.729980264961	0.738065128862	0.693098021501	0.729169462216	0.749091379873	0.755814821731	0.746962011927	0.698111385154	0.703502974702	0.713189488197	0.716125061911	0.687265952938	0.71002300624	0.705646594083	0.709954825397	0.708854289541	0.749685078605	0.706569929952	0.746384518468	0.763906239985	0.761483920506	0.750886667046	0.756274415781	0.711356904496	0.795648265863	0.723950272839	0.756506369828	0.777522061527	0.752750354446	0.736612933592	0.779065539277	0.737837808383	0.740480925949	0.726438754143	0.820777394651	0.716105812522	0.698302502385	0.677271996953	0.730878094301	0.726723649385	0.754504055787	0.744764384964	0.734982117809	0.700831264545	0.692110864944	0.73544102472	0.766583217938	0.78533045945	0.786182086074	0.697839139347	0.802496271089	0.732172774119	0.722557893159	0.739387736414	0.7216387698	0.687397047687	0.72589598145	0.780890445108	0.758862342671	0.801362169006
59.S17	0.692794689036	0.660259300558	0.829280155642	0.72851648402	0.733604030149	0.790065283439	0.749512740633	0.839573811239	0.742260427711	0.0	0.697997473539	0.745869584793	0.776827747632	0.699919694197	0.757378808671	0.704059430328	0.715210113826	0.773061624148	0.691660559297	0.738384382974	0.696481271181	0.83514965451	0.699567332793	0.738949166605	0.784236008572	0.697255318267	0.782994850575	0.66433638217	0.736121943616	0.724953328333	0.705057057526	0.677046654414	0.671434662693	0.697504292081	0.785367502151	0.704899935869	0.734653507168	0.745167547141	0.753193804789	0.728976396411	0.690486842406	0.724016615267	0.701030704959	0.625240214301	0.758430749079	0.767723301698	0.75178237539	0.732906483025	0.741908080602	0.711869177009	0.705379850432	0.713751895158	0.70764900395	0.813179924976	0.690117990205	0.654379771018	0.70553341911	0.755116026844	0.731727883792	0.711799823431	0.740509148798	0.697071976511	0.738039582879	0.750139442351	0.746619036095	0.848693203457	0.834085314958	0.80441816619	0.770571324035	0.697582851035	0.723597496108	0.748494569321	0.747289475743	0.702388914315	0.75091784961	0.75114044519	0.70759847504	0.680314422775	0.702612183208	0.731625382277	0.705171635001	0.697037567489	0.700818842237	0.696059410964	0.746037635693	0.724252293884	0.730685754817	0.712463911044	0.714111651849	0.725368471149	0.765533866757	0.704589159987	0.701739039662	0.798154894719	0.751270888599	0.718296567729	0.781779060964	0.78866968348	0.756643602503	0.784073840938	0.649236681178	0.746023916342	0.744188191758	0.871496327557	0.74364576025	0.739349385879	0.752450338814	0.773482172312	0.753829908822	0.805107694741	0.72203307251	0.721329446193	0.782526395794	0.705933185741	0.763970859515	0.795500148934	0.816907295182	0.765087859016	0.787123787378	0.822023718791	0.776352605828	0.744678503458	0.847560817872	0.762698924385	0.738959630761	0.730192686338	0.827496928867	0.818545097027	0.849633469445
