	27.S17	50.S17	5.S17	173.S17	196.S17	88.S17	160.S17	93.S17	210.S17	59.S17	136.S17	163.S17	148.S17	121.S17	146.S17	174.S17	154.S17	147.S17	122.S17	90.S17	171.S17	CON27.S17	209.S17	14.S17	144.S17	186.S17	66.S17	24.S17	150.S17	118.S17	3.S17	53.S17	166.S17	21.S17	116.S17	35.S17	32.S17	112.S17	161.S17	141.S17	180.S17	103.S17	129.S17	169.S17	CON8.S17	86.S17	98.S17	39.S17	CON7.S17	7.S17	137.S17	87.S17	155.S17	94.S17	143.S17	164.S17	51.S17	33.S17	198.S17	191.S17	179.S17	135.S17	74.S17	99.S17	114.S17	216.S17	92.S17	91.S17	127.S17	167.S17	48.S17	138.S17	43.S17	184.S17	134.S17	190.S17	139.S17	26.S17	201.S17	55.S17	140.S17	123.S17	120.S17	193.S17	102.S17	181.S17	199.S17	54.S17	170.S17	183.S17	29.S17	4.S17	64.S17	58.S17	12.S17	189.S17	25.S17	72.S17	152.S17	CON1.S17	165.S17	62.S17	61.S17	68.S17	142.S17	31.S17	128.S17	85.S17	117.S17	95.S17	182.S17	101.S17	124.S17	156.S17	168.S17	194.S17	89.S17	145.S17	CON25.S17	206.S17	1.S17	178.S17	211.S17	110.S17	70.S17	109.S17	203.S17	153.S17	96.S17
27.S17	0.0	0.20398397	0.298392866	0.32953939	0.361569942	0.400323068	0.28788864	0.347853206	0.236578812	0.235148136	0.375888332	0.26247166	0.373112558	0.319221804	0.332904186	0.20266518	0.243431452	0.244732796	0.423715056	0.302292314	0.340044844	0.340461456	0.2616874	0.39450737	0.365943052	0.297366164	0.402714106	0.358140198	0.27922244	0.18735518	0.37214696	0.157931032	0.160925592	0.190071262	0.198767232	0.150079496	0.143678918	0.299473676	0.289434388	0.288364634	0.340711396	0.344187592	0.302226792	0.135612824	0.32945447	0.27932963	0.396660744	0.13887336	0.303116786	0.22546921	0.13942151	0.245783016	0.131145658	0.348943386	0.35137881	0.203333532	0.261078898	0.261290112	0.297256088	0.311896372	0.375142232	0.379314756	0.35049814	0.35868353	0.321925554	0.294371484	0.302924804	0.323447496	0.419708528	0.263379054	0.249936698	0.278819608	0.25106487	0.220634974	0.296164308	0.350387868	0.394985798	0.237841278	0.350835548	0.315681848	0.250597814	0.428580654	0.183272212	0.341208572	0.41010043	0.241134834	0.304734612	0.415115022	0.316110608	0.340062104	0.49327409	0.27485982	0.293140848	0.503335598	0.45511537	0.336604034	0.272118412	0.493071502	0.400730112	0.170056578	0.154672862	0.245157094	0.344128624	0.226587118	0.408686456	0.174089606	0.406520874	0.34016065	0.453033928	0.272993974	0.413925824	0.344280128	0.42728455	0.38961821	0.404804492	0.39674802	0.311028756	0.39908619	0.455752634	0.203204104	0.478894756	0.274264898	0.405389152	0.381388964	0.225526126	0.31786124	0.392605868	0.394636694	0.353447502
50.S17	0.20398397	0.0	0.309809184	0.334486532	0.354109032	0.41472043	0.302966282	0.360195956	0.250688494	0.264635826	0.369374994	0.252458274	0.375448164	0.322593026	0.315320792	0.19412375	0.24891747	0.257895202	0.42236655	0.29759484	0.346251918	0.356798742	0.272607098	0.4048053	0.36036683	0.277143614	0.427780936	0.352945164	0.288338506	0.249240866	0.381199026	0.243699666	0.20355763	0.284071812	0.235332338	0.221666974	0.227012452	0.28651769	0.265803002	0.285278636	0.342460446	0.328882842	0.316557082	0.16825945	0.369088228	0.293679608	0.384779002	0.236761826	0.349234636	0.233640828	0.186858388	0.247280162	0.217337264	0.352234688	0.356775504	0.217056066	0.274511636	0.297737642	0.312312578	0.285143502	0.371879914	0.40661753	0.362455946	0.35637738	0.325707428	0.316530438	0.308128582	0.336470374	0.431531674	0.256204988	0.224837168	0.263236802	0.341340396	0.213210164	0.283869258	0.33207371	0.400692132	0.251927388	0.343030042	0.29209873	0.25755634	0.43488692	0.18641951	0.345996234	0.410263624	0.240636272	0.318594378	0.405884288	0.29882475	0.353424426	0.500208384	0.272578794	0.291830002	0.521359196	0.4703771	0.304709628	0.307768362	0.515158372	0.410263266	0.267294564	0.192354464	0.244342416	0.363930234	0.329203448	0.421254422	0.252844532	0.41479484	0.336079256	0.466139402	0.285928244	0.402022478	0.317292066	0.442094248	0.401731316	0.41973867	0.396244094	0.31608971	0.431792948	0.477171024	0.309029898	0.492674666	0.277378132	0.42068915	0.373300918	0.222943732	0.316409674	0.414866374	0.412026492	0.350467252
5.S17	0.298392866	0.309809184	0.0	0.34273234	0.347243824	0.40697699	0.36553975	0.455692148	0.322490214	0.403076154	0.36760201	0.304885434	0.383739636	0.322660614	0.320618328	0.237446286	0.283145646	0.340500202	0.427907806	0.349682012	0.378864754	0.339253938	0.254366126	0.397174796	0.379029454	0.300693218	0.4107276	0.386789448	0.285331838	0.239226482	0.381068794	0.218088846	0.239538534	0.338782772	0.27109817	0.279051058	0.31332814	0.280514002	0.34811327	0.33160948	0.33963929	0.329138942	0.361140918	0.323153902	0.30860674	0.328467116	0.376658258	0.28408009	0.300553268	0.225387332	0.282550936	0.364118098	0.263788576	0.433716536	0.387613256	0.368984838	0.270849136	0.226832502	0.365386302	0.290242014	0.342178462	0.391980778	0.357000314	0.353289872	0.305544412	0.319493882	0.324430614	0.431671634	0.428205538	0.3286187	0.248773368	0.309843286	0.409491132	0.28408136	0.212849054	0.341865766	0.392779044	0.26634074	0.348273086	0.30867771	0.292981648	0.431525872	0.275991842	0.359853698	0.4149045	0.2143017	0.350548786	0.401391468	0.323302362	0.341351146	0.498140056	0.368772782	0.298080798	0.498326052	0.465262408	0.321866288	0.388781342	0.500268024	0.399324206	0.29547254	0.302330444	0.291559208	0.351462946	0.374162868	0.419012754	0.222318536	0.411724208	0.332535096	0.460780558	0.374739512	0.38388189	0.437605838	0.434409256	0.398892796	0.40941489	0.397751774	0.350017674	0.491198912	0.470424016	0.232015054	0.484491366	0.363338168	0.40086553	0.366321954	0.29916454	0.31719413	0.396961214	0.399278736	0.387139908
173.S17	0.32953939	0.334486532	0.34273234	0.0	0.153069936	0.223718446	0.228473022	0.357386748	0.205390926	0.336543378	0.181899694	0.204113926	0.155214136	0.210792722	0.141549256	0.20423193	0.188862494	0.206253814	0.245574694	0.253449344	0.191210662	0.138783922	0.150446642	0.226834904	0.220507098	0.171245978	0.268970496	0.20652298	0.118275558	0.27458797	0.20165031	0.349364506	0.307421074	0.344748668	0.275912386	0.36211823	0.307198256	0.196686386	0.255527746	0.256420024	0.199592502	0.230524226	0.234523066	0.29335935	0.5213325	0.25722534	0.255025834	0.331767318	0.510428944	0.27122374	0.330085312	0.274027666	0.292000872	0.347618812	0.210634968	0.25490613	0.163625204	0.458144898	0.215985838	0.217725794	0.230078894	0.243342658	0.21542289	0.211215928	0.249709016	0.146233018	0.238057226	0.348401182	0.226427706	0.199204812	0.2128029	0.235478894	0.430609028	0.268723548	0.39473585	0.143772806	0.246865748	0.228242016	0.144281406	0.216822338	0.233783336	0.26463328	0.27484633	0.153772286	0.321182716	0.202806784	0.25102301	0.260262696	0.229775918	0.15523169	0.32303436	0.23865547	0.204718594	0.347799728	0.28020924	0.24940832	0.322422886	0.325899516	0.198337238	0.380960884	0.304164016	0.276465496	0.202213514	0.382390548	0.246701238	0.258129324	0.23393732	0.20853982	0.278420186	0.279795468	0.209704634	0.403909914	0.233795956	0.184114788	0.235361894	0.24477919	0.248056166	0.377960716	0.283732236	0.42311117	0.316204442	0.216734188	0.20085147	0.217487298	0.27485718	0.198301078	0.21468713	0.184498792	0.285486512
196.S17	0.361569942	0.354109032	0.347243824	0.153069936	0.0	0.223035638	0.25751507	0.357059408	0.217857502	0.368724206	0.195853422	0.234698526	0.172376296	0.245446814	0.187213008	0.240248758	0.246876646	0.237791694	0.26459843	0.263018752	0.212394382	0.137481542	0.186890258	0.225267468	0.257928814	0.209915434	0.28392286	0.224941432	0.145971258	0.298532994	0.214029442	0.350138318	0.343153874	0.389778988	0.304195274	0.402706214	0.339642324	0.217285294	0.274250362	0.298305292	0.198614514	0.225288426	0.257865134	0.32416325	0.545837372	0.278172944	0.25851031	0.362989454	0.533301692	0.298408744	0.368012572	0.275928502	0.322282584	0.354657252	0.208504712	0.303854246	0.196547724	0.480539246	0.228068694	0.24568403	0.262683274	0.263978038	0.229363978	0.232770268	0.254486088	0.162368074	0.246150734	0.332655766	0.21974779	0.25250424	0.236720484	0.239887262	0.450770916	0.2952367	0.429857158	0.175730946	0.256693564	0.26917576	0.161277246	0.242429346	0.26244024	0.256485196	0.304373758	0.208164026	0.343283104	0.225856704	0.265484246	0.279450228	0.281951542	0.153810366	0.329600572	0.27072961	0.239939702	0.339960348	0.287786552	0.267442888	0.330096866	0.328357092	0.188860698	0.412282676	0.343440088	0.28893378	0.21924009	0.392942388	0.241161602	0.292289872	0.24673384	0.217740736	0.279218754	0.283832364	0.234295446	0.414884398	0.225420064	0.208592444	0.23219679	0.265853342	0.24260817	0.404910932	0.289798932	0.439243362	0.308486826	0.247009176	0.19399697	0.219166042	0.317126256	0.210041054	0.20352257	0.201060556	0.245698836
88.S17	0.400323068	0.41472043	0.40697699	0.223718446	0.223035638	0.0	0.337328036	0.389907638	0.280043136	0.3973561	0.113296872	0.343698476	0.20811325	0.270195656	0.265333286	0.311135852	0.31805262	0.28245552	0.099106176	0.281970454	0.165439064	0.172002024	0.270206868	0.13174093	0.331102656	0.310020312	0.122639374	0.160250282	0.220513764	0.37915578	0.132842124	0.41230294	0.409544904	0.43349077	0.348099048	0.43086524	0.391094574	0.278862072	0.381628532	0.333253386	0.196236612	0.234334928	0.25865162	0.380174528	0.588108854	0.308731494	0.256549968	0.402234764	0.574075918	0.347001478	0.399727406	0.331173172	0.38718425	0.40457171	0.125571114	0.364825768	0.21605487	0.532041408	0.320086992	0.350420024	0.287788748	0.10333658	0.1471931	0.23471801	0.343450902	0.229679588	0.25671164	0.4008268	0.103100868	0.332998882	0.289647678	0.298146752	0.501000806	0.371244006	0.480002208	0.267064928	0.119889106	0.294480154	0.168816896	0.285490112	0.310463066	0.09940507	0.345943312	0.265175448	0.33139891	0.305939774	0.355834256	0.14762857	0.343459092	0.211805796	0.211127962	0.317938792	0.283852928	0.195549062	0.14509475	0.359599006	0.35540852	0.16535653	0.110458172	0.445082678	0.392153182	0.367485742	0.14570938	0.413481418	0.092988472	0.340208058	0.138321202	0.25334525	0.116989916	0.30613797	0.242261196	0.448271796	0.07022823	0.267073382	0.14762862	0.268379004	0.29835314	0.464172238	0.11768601	0.487966896	0.150030636	0.345995838	0.1270304	0.1886781	0.35767703	0.165512656	0.252999804	0.214517638	0.322240138
160.S17	0.28788864	0.302966282	0.36553975	0.228473022	0.25751507	0.337328036	0.0	0.298725754	0.178421324	0.311599512	0.309202404	0.164897	0.217554386	0.28215728	0.25470443	0.224084144	0.219177392	0.178587516	0.371167784	0.230526646	0.314326028	0.250372348	0.227590208	0.347621698	0.186580956	0.213630348	0.401896846	0.334658334	0.217426556	0.239040484	0.307059864	0.329957328	0.26707036	0.323914882	0.251480608	0.326932672	0.25926327	0.268269136	0.20933852	0.270190966	0.308834216	0.344823164	0.319020272	0.25646836	0.477465902	0.249467262	0.348528416	0.281952984	0.463036454	0.273983702	0.296532454	0.231188832	0.25942261	0.282274498	0.332693926	0.23663704	0.284324618	0.409801224	0.13264862	0.256407708	0.304025236	0.372385144	0.3307351	0.31956209	0.269352758	0.166300084	0.238449972	0.281574764	0.340491216	0.19837689	0.26535757	0.214521632	0.388760994	0.242485398	0.359103764	0.234792136	0.36607827	0.297325234	0.26732982	0.262326824	0.249210378	0.382822722	0.238813	0.195695772	0.35886739	0.246746718	0.251152364	0.384399558	0.280290352	0.230975924	0.45271397	0.220481708	0.28798724	0.462317158	0.405037638	0.26873833	0.288554256	0.45213019	0.306417024	0.334191562	0.264722054	0.250733414	0.334191536	0.336498214	0.367853712	0.257844734	0.361176586	0.27306321	0.406118996	0.236012406	0.3118714	0.3869141	0.342023838	0.24093507	0.339779692	0.334634588	0.234328016	0.28939749	0.412677566	0.37891128	0.43231808	0.164203194	0.289876776	0.321042632	0.243321406	0.317400168	0.241041028	0.246847242	0.25192253
93.S17	0.347853206	0.360195956	0.455692148	0.357386748	0.357059408	0.389907638	0.298725754	0.0	0.26746895	0.379511654	0.394489862	0.329189486	0.37164632	0.360080242	0.373529844	0.347030746	0.344502034	0.253629026	0.447792302	0.247418276	0.436912366	0.364412414	0.360157962	0.415648952	0.37884881	0.34130785	0.479562084	0.420325688	0.335340846	0.319921598	0.42788797	0.380957054	0.362600554	0.402584128	0.306381698	0.394206782	0.312866884	0.358953946	0.32046299	0.338832512	0.399697038	0.41825221	0.367453858	0.327405462	0.545059364	0.298670396	0.404150286	0.357377438	0.516097536	0.356282248	0.353408056	0.251410486	0.34460234	0.242746012	0.401087208	0.326540546	0.373002704	0.467416014	0.307677674	0.36947847	0.386720706	0.440243526	0.427683318	0.387146028	0.320332584	0.296292658	0.255919158	0.300780234	0.402739142	0.33052726	0.358847552	0.279273222	0.438251008	0.298652108	0.42696847	0.36374475	0.413332004	0.36903812	0.387383242	0.299507702	0.31613658	0.44796592	0.27816161	0.349742366	0.410079524	0.365620232	0.358530502	0.473986976	0.359818466	0.36405401	0.521820436	0.28575763	0.360264006	0.533315956	0.45123378	0.326156352	0.331073906	0.51696124	0.415162858	0.410473888	0.363416836	0.3138759	0.409178654	0.397654944	0.422688994	0.348261436	0.398038328	0.306571624	0.455024402	0.22181104	0.452412526	0.432292322	0.411870248	0.437723504	0.458684106	0.421344946	0.211203558	0.430268524	0.468302168	0.427303526	0.485966598	0.289011856	0.419288478	0.344329986	0.320126848	0.409979218	0.40405653	0.418454072	0.260409236
210.S17	0.236578812	0.250688494	0.322490214	0.205390926	0.217857502	0.280043136	0.178421324	0.26746895	0.0	0.254097136	0.268941576	0.19043122	0.254180426	0.223631352	0.23812241	0.183688516	0.1945871	0.13597254	0.324555436	0.175560538	0.282684612	0.20391108	0.189313152	0.283986718	0.252905988	0.21263508	0.33989281	0.278518166	0.194544016	0.217422664	0.281409572	0.260389864	0.232071852	0.288028706	0.204722256	0.279260548	0.234386646	0.227745004	0.213770192	0.21874697	0.25163624	0.279867236	0.24686336	0.196788776	0.43124159	0.196982718	0.289937016	0.246289336	0.418003746	0.217238742	0.252697902	0.156991588	0.212137074	0.270933734	0.257206622	0.19812686	0.227082918	0.372610524	0.164847836	0.238280872	0.277269756	0.317410384	0.287599824	0.263741166	0.236114278	0.147849284	0.1863599	0.252840644	0.278885532	0.184296058	0.209417866	0.167955732	0.345728922	0.205663942	0.330399516	0.246090756	0.309083314	0.24550497	0.237605228	0.213951252	0.206918654	0.324719666	0.195218568	0.228819532	0.30954431	0.214105834	0.224373652	0.338903494	0.260113772	0.23260458	0.39106123	0.180124312	0.255356244	0.40471021	0.344036298	0.241264646	0.234368364	0.397928266	0.273072452	0.295815522	0.217518398	0.21283451	0.279615836	0.286527042	0.304180284	0.218274702	0.304192306	0.213947674	0.340793944	0.184528854	0.319514616	0.324970696	0.280398158	0.27791785	0.306619888	0.297339428	0.202538324	0.337331766	0.35186383	0.334159496	0.368865316	0.165863674	0.27761026	0.263025144	0.213263354	0.263671696	0.279292004	0.289293858	0.234920038
59.S17	0.235148136	0.264635826	0.403076154	0.336543378	0.368724206	0.3973561	0.311599512	0.379511654	0.254097136	0.0	0.376950048	0.325354344	0.375246626	0.313167288	0.35937911	0.260373404	0.308286244	0.267472396	0.410359784	0.306252834	0.3350709	0.341047496	0.313405432	0.38674701	0.372693192	0.316709284	0.438030974	0.344821734	0.326862064	0.331269504	0.410847204	0.33027244	0.288321784	0.326826746	0.313850856	0.222982884	0.304476526	0.348366852	0.325861544	0.261069182	0.324997256	0.38817752	0.224622768	0.202774792	0.43810639	0.306615486	0.387399416	0.285392276	0.432644802	0.317702398	0.20746407	0.239260868	0.30306853	0.365802274	0.336671258	0.153327776	0.324336574	0.39039578	0.319230144	0.344635176	0.37089942	0.405900216	0.379708952	0.378823922	0.364745186	0.300814348	0.294738488	0.361935444	0.4093939	0.28324927	0.297171006	0.300150628	0.410444238	0.306768042	0.402534676	0.360872376	0.421509282	0.275255498	0.357805868	0.318965436	0.292560246	0.427823258	0.28524648	0.338020816	0.407102002	0.320857658	0.351375584	0.42881851	0.355077596	0.337618096	0.484859174	0.29537	0.348143392	0.499574006	0.444502702	0.357407834	0.310883252	0.489103302	0.396215788	0.300578518	0.188377106	0.326348586	0.385326608	0.311902506	0.417284652	0.329068602	0.407485826	0.335122238	0.438545148	0.30018683	0.418871348	0.256456292	0.423046186	0.398509666	0.4143805	0.367766696	0.317178412	0.43325881	0.449716846	0.391125564	0.475582456	0.307739002	0.401379976	0.377169092	0.268937674	0.361791	0.388043868	0.383544678	0.357109374
